問題番号,問題,選択肢１,選択肢２,選択肢３,選択肢４,解答
1,怪しいメールアドレスはどれか,@google.org,@google.com,@amazon.com,@microsoft.com,1
2,怪しいメールが届いたとき、やってはいけないことはどれか,開かず捨てる,メールの送り主に苦情を送る,返信しない,ブロックする,2
3,不正ログインを防ぐためにはどうすればよいか,パスワードを使いまわす,osやソフトウェアを更新しない,インターネットを節約するために公共wifiを率先して使用する,怪しいサイトは開かない,4
4,ランサムウェアによる被害を軽減するためには何をしたらいいでしょう,重要なファイルはバックアップする,サービスごとに異なるパスワードを使う,対策ソフトを用いて検査をしておく,無線ＬＡＮを使うときは情報を暗号化する,1
5,シングルサインオンとは何でしょう,使いたいシステムごとに認証を受けること,一度の認証で複数のシステムを使用できること,ネットワーク上のサービスにアクセスして会員登録を行うこと,配布された初期パスワードを変更すること,2
6,生体認証はどれでしょう,画面に歪んだ文字列の画像が表示され、その文字列を入力する認証,表示されたパズルを解く認証,筆跡、筆圧などの動作の特徴を用いた認証,利用者に秘密の質問を答えさせる認証,3
7,Dos攻撃（ウェブサイトやサーバーに対して大量のアクセスやデータを送るサイバー攻撃）の目的は何でしょう,サーバ管理者の権限を奪う,サービスを妨害する,データを改ざんする,データを盗む,2
8,多数のコンピュータに感染し、指令を受けると一斉に攻撃を行う不正プログラムのことを何というでしょう,ワーム,ハニーボット,ボット,マクロウイルス,2
9,ランサムウェアを感染させる目的は何でしょう,個人情報を手に入れるため,ファイルを使えなくして、金銭を手に入れるため,キーボードで打ったパスワードなどの文字列を手に入れるため,ＰＣをインターネット経由で不正に操作するため,2
10,ワンタイムパスワードを使うことで何が防げるでしょう,パスワードの盗聴,不正侵入された際のファイルの改ざん,不正プログラムによるウイルス感染,漏洩したパスワードでの不正侵入,4
11,物理的セキュリティ対策はどれでしょう,従業員と守秘義務契約を結ぶ,電子メールを送るときにデジタル署名をつける,ノートPCを保管するときに鍵をかける,パスワードを定期的に更新する,3
12,インターネット上でファイルをダウンロードするときにセキュリティの観点からで気を付けることは何でしょう,拡張子をよく見る,ファイルのサイズを確認する,通信容量の残りが足りているかを確認する,自分の端末のストレージ容量に余裕があるかを確認する,1
13,スパムメールを説明しているものはどれでしょう,受信者の許可なしに送られるメール,特定の目的をもって、大人数に対し、一斉に送られるメール,複数の相手に同じ内容のメールが送られ、受信者が増え続けるメール,不特定多数の相手と情報交換ができるシステム,1
14,デジタル署名で実現できることはどれか,取引内容が改ざんされていないことの確認,盗聴による取引内容の漏洩の防止,意図しない第三者によるファイルへのアクセス防止,ファイルにウイルスが感染していないかの検証,1
